Address,Address - Zip Code,# of Garage Spaces,Bathrooms - Full,Bathrooms - Half,Bedrooms,HOA Dues,Listing Price,Price_Per_SQFT_LISTING,Lot Size - Sq Ft,Listing Date,Pending Date,Pool,Selling Date,Selling Price,Selling_Price_Per_Sqft,Square Footage,Year Built
"218 N Stockton St Lodi, CA 95240-2217",95240,0,1,0,2,0,42900,48.53,3920,5/17/2010,7/21/2010,NONO,7/29/2010,47500,53.73303167,884,1947
"1741 Reisling Dr Lodi, CA 95240-6185",95240,0,2,0,3,0,199000,119.09,10454,5/1/2010,8/25/2010,NONO,8/27/2010,199000,119.0903651,1671,1980
"835 Daisy Ave Lodi, CA 95240-0937",95240,2,1,0,3,0,110000,99.19,5663,4/20/2010,7/8/2010,NONO,7/29/2010,118000,106.4021641,1109,1957
"1824 Cape Cod Cir Lodi, CA 95242-4207",95242,2,2,0,2,290,162000,168.93,4792,4/20/2010,8/2/2010,NONO,8/28/2010,165000,172.0542231,959,1984
"240 Eden St Lodi, CA 95240-4110",95240,1,4,0,4,0,124900,54.3,6970,4/20/2010,9/6/2010,NONO,10/21/2010,120000,52.17391304,2300,1928
"1233 S Sunset Dr Lodi, CA 95240-5531",95240,2,2,0,3,0,159900,119.24,5227,4/20/2010,10/18/2010,NONO,10/29/2010,160000,119.3139448,1341,1967
"904 Downing Dr Lodi, CA 95242-3815",95242,2,2,0,3,0,140000,133.59,6098,5/25/2010,11/4/2010,YESY,12/22/2010,140000,133.5877863,1048,1973
"1307 Holly Dr Lodi, CA 95242-2422",95242,1,1,1,3,0,174900,108.84,7405,5/27/2010,6/9/2010,NONO,8/4/2010,155000,96.45301805,1607,1956
"320 Kensington Way Lodi, CA 95242-3418",95242,2,2,0,3,0,239900,152.32,11326,5/27/2010,6/9/2010,NONO,7/16/2010,239900,152.3174603,1575,1962
"907 Elliot Pl Lodi, CA 95240-3905",95240,2,1,0,3,0,199950,138.95,6098,5/28/2010,6/25/2010,NONO,8/6/2010,180725,125.590688,1439,1957
"1315 S Lee Ave Lodi, CA 95240-5721",95240,2,2,0,3,0,189000,123.69,6534,5/28/2010,9/3/2010,NONO,9/10/2010,189000,123.6910995,1528,1949
"1619 Providence Way Lodi, CA 95242-4746",95242,3,3,0,5,0,345000,115,5663,6/1/2010,9/27/2010,YESY,9/28/2010,330000,110,3000,1999
"631 N Crescent Ave Lodi, CA 95240-0929",95240,1,1,0,2,0,114900,116.77,6098,6/1/2010,6/24/2010,NONO,7/29/2010,130000,132.1138211,984,1957
"1420 Zinfandel Dr Lodi, CA 95242-4561",95242,2,2,0,3,0,174900,116.99,9583,6/3/2010,6/11/2010,NONO,7/23/2010,187500,125.4180602,1495,1983
"1518 Vista Dr Lodi, CA 95242",95242,2,2,0,4,0,219000,138.7,6098,6/3/2010,7/19/2010,NONO,9/17/2010,219000,138.6953768,1579,1966
"711 Palm Ave Lodi, CA 95240-0921",95240,2,2,0,3,0,225000,137.61,10454,6/4/2010,6/25/2010,NONO,9/3/2010,217500,133.0275229,1635,1931
"536 Daisy Ave Lodi, CA 95240-1012",95240,2,1,0,3,0,149950,123.11,8276,5/7/2010,5/19/2010,NONO,6/23/2010,144000,118.226601,1218,1948
"531 Connie St Lodi, CA 95240-3901",95240,2,2,0,3,0,199950,132.95,6098,5/10/2010,6/15/2010,NONO,7/23/2010,181000,120.3457447,1504,1962
"224 N Orange Ave Lodi, CA 95240-1836",95240,2,1,0,2,0,131900,90.53,5227,5/16/2010,8/19/2010,NONO,9/14/2010,125000,85.79272478,1457,1951
"1027 Downing Dr Lodi, CA 95242-3818",95242,2,2,0,3,0,210000,146.65,4792,5/18/2010,6/30/2010,NONO,8/31/2010,200000,139.6648045,1432,1973
"229 Eden St Lodi, CA 95240-4109",95240,0,1,0,2,0,99000,96.87,6970,5/20/2010,6/1/2010,NONO,7/12/2010,105000,102.739726,1022,1913
"605 W Lockeford St Lodi, CA 95240-1947",95240,2,3,0,4,0,249900,116.29,19602,5/20/2010,9/3/2010,NONO,12/30/2010,250000,116.3331782,2149,1906
"1607 W Locust St Lodi, CA 95242-2944",95242,2,1,0,3,0,125000,107.76,6098,5/1/2010,6/7/2011,NONO,7/14/2011,125000,107.7586207,1160,1955
"913 Mason St Lodi, CA 95242-2343",95242,1,1,1,3,0,188000,157.85,6534,6/10/2010,10/12/2010,NONO,12/16/2010,185000,155.3316541,1191,1959
"1837 Winding Oak Lodi, CA 95242-4464",95242,2,3,0,3,0,185900,111.45,5227,6/10/2010,9/9/2010,YESY,12/30/2010,205000,122.9016787,1668,1988
"700 Mccoy Ct #3 Lodi, CA 95240-8103",95240,0,1,0,2,225,49790,58.37,0,6/9/2010,12/10/2010,YESY,12/13/2010,45000,52.75498242,853,1982
"1407 S Vin Rose Dr Lodi, CA 95242-4575",95242,0,2,0,3,0,169900,98.61,7405,6/8/2010,7/30/2010,NONO,10/7/2010,165000,95.76320371,1723,1983
"1913 Holly Dr Lodi, CA 95242-2206",95242,1,2,0,3,0,129900,85.29,5663,6/14/2010,6/14/2010,NONO,7/28/2010,130000,85.35784636,1523,1953
"815 Louie Ave Lodi, CA 95240-0931",95240,2,2,0,3,0,109900,91.58,6098,6/15/2010,6/24/2010,NONO,7/7/2010,125000,104.1666667,1200,1962
"205 E Tokay St Lodi, CA 95240-4142",95240,2,1,0,3,0,85000,63.58,6970,6/15/2010,8/18/2010,NONO,11/8/2010,89000,66.56694091,1337,1920
"1530 Amber Leaf Way Lodi, CA 95242",95242,2,2,0,3,0,219900,141.87,5587,6/2/2010,8/20/2010,NONO,9/24/2010,219900,141.8709677,1550,1986
"2250 Scarborough Dr #55 Lodi, CA 95240-6652",95240,1,1,1,2,100,129900,117.88,0,6/15/2010,9/29/2010,NONO,12/10/2010,93450,84.80036298,1102,1991
"720 W Lockeford St Lodi, CA 95240-1949",95240,2,2,0,3,0,129950,75.46,5227,6/17/2010,6/21/2010,NONO,9/22/2010,129950,75.46457607,1722,1937
